JH,TH,slot,MEMF,MENP,SEGS,NTMF,NTMI,NTMA,NTNA,NTCT,NTST,NTBS,BOFR,BONC,BOBL,JMTO,AKFS,AKWT,FSOF,FSOO,CMAS,CMIS,CMASL,RTHS,RTMF,RTTH,parallelism,p99_latency
2667,5483,2,1,0.8,256,0.3,32,2461,2,1,2,11549967,92,91,1850,1661,19,12,1,0,16,7,1,0,170,0.5,20,14439
4350,4144,4,0,0.8,32,0.4,512,3882,4,3,4,11434904,95,77,1375,2798,13,13,1,1,23,2,7,0,147,0.8,30,16752.51
2892,3763,1,1,0.5,32,0.2,128,1386,1,4,1,7432848,88,82,1510,1295,14,17,0,1,24,3,7,0,155,0.7,10,8594
4747,4051,1,0,0.7,64,0.5,1024,2493,1,2,1,9195072,82,61,1836,2239,8,10,0,1,15,7,6,1,144,0.7,10,4131.19
1052,3641,3,0,0.7,64,0.5,512,2029,3,2,3,9633391,77,64,1296,3235,13,19,0,1,15,3,9,0,158,0.5,10,14631.29
3958,2826,3,1,0.6,64,0.3,32,2270,3,3,3,7838220,94,55,1139,2821,12,17,1,0,24,11,4,0,137,0.5,20,15590
3029,2178,2,0,0.6,32,0.3,512,1973,2,2,2,9473391,67,66,959,3701,15,21,1,1,13,7,3,1,143,0.5,20,16723.39
1719,4472,3,0,0.6,64,0.3,32,1764,3,1,3,10479467,51,92,1578,2869,11,18,0,1,18,8,8,0,151,0.9,20,12904
1722,6025,3,1,0.6,512,0.2,128,2734,3,2,3,9283233,86,98,1369,3473,14,16,0,1,14,5,2,1,149,0.8,20,10923.78
3832,5238,5,0,0.8,256,0.2,64,3024,5,3,5,6737724,90,70,1466,2538,7,11,1,0,14,4,7,1,140,0.9,50,4547
1549,3548,1,0,0.5,32,0.4,128,2766,1,2,1,6344265,55,68,1426,2934,7,11,1,0,10,6,7,1,155,0.9,10,12121.54
1925,3505,4,0,0.4,256,0.3,64,3166,4,4,4,11509167,68,83,1832,2248,19,13,1,1,17,2,4,0,141,0.9,30,17065.28
1101,2383,4,0,0.4,64,0.3,128,3535,4,3,4,8106256,79,68,1204,3931,20,20,0,1,16,7,8,0,140,0.8,30,4244.98
3899,5793,4,1,0.8,256,0.1,128,3034,4,3,4,8218555,70,52,1496,1472,9,18,1,1,12,2,6,0,160,0.8,40,5052
5878,6136,4,0,0.5,512,0.3,512,3282,4,2,4,8629548,60,53,1911,976,15,16,1,1,21,5,9,1,143,0.5,10,10193.74
2747,2229,3,1,0.4,512,0.3,512,2528,3,4,3,10270684,74,83,1257,3392,20,21,0,1,20,11,9,0,138,0.9,30,19177.94
1251,5241,4,1,0.6,64,0.1,1024,1648,4,4,4,8040178,54,50,1860,1088,9,12,0,1,15,7,2,1,147,0.9,10,8251.74
2214,2513,4,1,0.4,512,0.1,1024,1052,4,4,4,9741582,84,76,986,3991,18,8,0,1,24,10,1,0,142,0.7,20,14259.62
3410,4177,5,0,0.6,32,0.2,1024,2169,5,3,5,8918263,89,60,1683,1305,13,13,1,1,10,3,4,0,167,0.7,20,12573.4
4420,3435,2,0,0.6,32,0.2,64,2189,2,1,2,10721849,74,78,1198,1153,18,8,1,0,11,3,2,1,127,0.9,20,19915.09
1835,5962,4,0,0.4,128,0.3,256,2889,4,3,4,9125141,80,80,1715,2101,9,15,1,1,19,8,6,1,134,0.7,10,2080.36
5506,5982,4,0,0.5,64,0.4,256,1787,4,3,4,11075948,72,58,1828,3827,8,14,0,0,9,4,4,0,155,0.9,30,17988.54
5863,5329,5,0,0.6,256,0.1,64,3942,5,4,5,7063183,68,57,1410,2908,11,20,0,0,22,4,8,1,167,0.5,10,18158.08
3487,4498,5,1,0.7,256,0.4,256,3405,5,1,5,9067536,73,59,1309,980,20,19,0,0,10,4,8,0,154,0.7,20,8411.24
4889,5263,4,0,0.4,32,0.3,1024,2894,4,2,4,7166212,50,73,1195,3056,6,16,1,1,10,6,5,0,163,0.8,30,4108
3498,5874,1,1,0.6,512,0.4,32,3298,1,1,1,9166997,52,63,1979,3671,18,18,0,0,25,6,7,1,169,0.5,10,16364.32
4758,5514,2,0,0.5,128,0.4,1024,2852,2,1,2,9607827,83,99,1503,4029,7,8,0,1,11,3,3,1,167,0.6,10,14172
3321,5979,1,1,0.8,128,0.1,256,2692,1,4,1,9056060,91,66,935,1802,11,13,1,1,12,4,6,0,120,0.8,10,6744.26
5491,3620,1,0,0.5,1024,0.5,64,2038,1,1,1,9144829,60,91,1712,3893,16,17,0,0,14,3,9,1,156,0.8,10,14035.35
3520,2821,3,1,0.5,128,0.1,256,2702,3,1,3,9790274,61,76,1925,2881,13,9,0,0,16,5,10,1,149,0.9,10,9492.08
4524,5438,1,0,0.7,512,0.1,1024,2932,1,3,1,10744815,75,71,1215,1326,7,11,1,1,15,5,8,1,164,0.5,10,10538.89
1716,6123,3,0,0.8,64,0.3,256,3193,3,1,3,8301628,95,100,1869,1111,20,16,1,0,21,4,6,1,138,0.6,30,10521.88
1177,5483,2,1,0.4,256,0.5,128,3803,2,1,2,6381765,54,57,1877,2203,17,11,1,0,13,5,5,0,157,0.6,10,16571.26
3845,2141,2,0,0.4,512,0.3,128,2087,2,4,2,11335823,61,76,950,3237,8,19,1,1,24,7,8,0,123,0.6,20,16997.7
2211,4378,3,0,0.4,32,0.2,32,2779,3,4,3,9303969,57,71,1421,3919,11,15,1,0,25,4,4,0,157,0.9,10,13293.38
1756,3728,5,1,0.4,512,0.5,256,2460,5,3,5,7117586,70,72,1966,1482,20,21,1,1,25,2,7,1,146,0.6,50,2147.03
6107,3910,4,1,0.8,1024,0.1,512,2315,4,2,4,9510789,54,71,1037,1159,7,19,1,0,25,3,3,1,167,0.7,10,6791.5
4331,3474,4,0,0.6,32,0.3,1024,2712,4,3,4,11407007,96,80,1125,1712,17,10,1,1,19,2,4,0,147,0.9,10,13839.17
2321,5515,4,1,0.7,128,0.4,499,2775,4,4,4,11570654,56,92,1805,3788,14,12,1,0,27,4,7,0,160,0.5,8,13910
1870,5459,4,1,0.7,256,0.4,574,2348,4,4,4,11772379,54,85,1848,3309,12,12,1,0,26,4,7,0,161,0.5,8,11608
3467,4335,3,0,0.4,128,0.3,542,1873,3,3,3,9751554,66,51,1754,3958,20,21,0,1,9,4,9,1,132,0.5,21,8639.8
5323,3473,3,0,0.8,512,0.4,527,1334,3,4,3,7848599,95,93,1410,1242,17,14,0,1,15,5,10,1,151,0.6,10,14240.74
3909,3363,1,1,0.4,256,0.5,61,1628,1,3,1,9719231,76,62,1150,1644,9,10,0,0,17,7,6,1,149,0.7,10,18380
4656,3387,3,0,0.7,256,0.3,404,1066,2,3,3,7371643,88,86,1337,1340,14,13,0,1,13,4,8,1,146,0.6,9,15885.38
7145,4026,4,0,0.9,1024,0.5,674,1211,3,5,4,8415556,108,112,1612,1613,20,17,0,1,16,6,13,1,161,0.6,10,2271.5
6105,3776,3,0,0.8,1024,0.4,556,1163,3,4,3,7940798,99,101,1488,1522,18,15,0,1,14,5,11,1,155,0.6,10,4772.06
5447,3590,4,1,0.4,64,0.3,136,2197,5,3,5,6957103,71,68,1164,3046,11,13,0,0,15,9,7,1,136,0.7,40,2457.18
5765,3690,4,1,0.4,64,0.3,146,2296,6,3,6,6995251,72,70,1179,3203,12,14,0,0,16,9,7,1,137,0.7,40,6856
5007,3508,4,1,0.4,64,0.3,128,2108,5,3,5,6888774,69,66,1135,2818,11,13,0,0,15,8,6,1,134,0.7,39,3985.23
4452,5612,1,0,0.5,32,0.1,223,3236,1,3,1,6947287,56,87,1510,1025,13,19,1,0,21,8,1,1,123,0.5,10,2114.32
4285,5403,1,0,0.5,32,0.1,210,3088,1,3,1,6905976,56,85,1471,1017,13,18,1,0,20,8,1,1,123,0.5,10,2136.4
4719,5839,1,0,0.5,32,0.1,234,3387,1,3,1,7011492,57,90,1558,1040,14,19,1,0,21,9,1,1,123,0.5,10,2810.13
5195,6340,1,0,0.5,32,0.1,261,3744,1,3,1,7101262,58,96,1647,1054,15,21,1,0,23,10,1,1,123,0.5,10,12254.8
5554,6686,1,0,0.5,32,0.1,275,3985,1,3,1,7186279,58,100,1721,1078,16,22,1,0,25,11,1,1,123,0.5,10,3454.92
5384,6533,1,0,0.5,32,0.1,266,3831,1,3,1,7146139,59,98,1681,1060,15,22,1,0,24,10,1,1,124,0.5,10,15077.17
4929,6095,1,0,0.5,32,0.1,248,3545,1,3,1,7047490,57,93,1601,1047,14,20,1,0,22,9,1,1,123,0.5,10,8118
4742,5876,1,0,0.5,32,0.1,242,3413,1,3,1,7002030,57,91,1554,1040,14,20,1,0,22,9,1,1,123,0.5,10,19785.18
4840,5920,1,0,0.5,16,0.1,241,3456,1,3,1,7029316,57,91,1570,1037,14,20,1,0,22,9,1,1,123,0.5,10,19165.57
4102,2613,3,0,0.7,128,0.3,983,2736,3,4,3,5993438,51,51,1556,3495,13,12,1,0,16,8,3,0,139,0.9,18,7888.36
3256,3926,3,0,0.4,64,0.3,474,1728,3,3,3,9262481,63,50,1572,3592,19,19,0,1,9,4,7,1,130,0.5,19,13909.7
3605,4186,3,0,0.4,64,0.3,546,1804,3,3,3,9786650,66,50,1669,3970,21,21,0,1,9,4,8,1,131,0.5,20,18240.55
3253,4012,3,0,0.4,64,0.3,480,1760,3,3,3,9317626,64,50,1593,3664,19,19,0,1,9,4,7,1,130,0.5,19,11875.48
3566,4308,3,0,0.4,64,0.3,556,1839,3,3,3,9818972,66,50,1701,4076,21,21,0,1,9,4,8,1,131,0.5,21,12704.11
3284,3976,3,0,0.4,128,0.3,489,1752,3,3,3,9290609,63,50,1586,3630,19,19,0,1,9,4,7,1,130,0.5,19,17413.54
4581,3503,4,0,0.5,32,0.6,148,4317,6,1,6,6398709,53,87,1682,1606,12,15,0,0,13,8,9,0,150,0.7,40,17778.19
4202,3336,4,0,0.5,64,0.5,135,3940,5,1,5,6278969,52,83,1592,1535,11,14,0,0,12,7,8,0,146,0.7,40,18779.16
4650,3840,1,1,0.4,512,0.6,64,1858,1,3,1,11141262,85,66,1227,1879,11,11,0,0,20,8,7,1,158,0.8,10,19183.32
4538,3788,1,1,0.4,512,0.6,64,1840,1,3,1,10939830,83,65,1217,1837,11,11,0,0,19,8,7,1,156,0.7,10,5678.58
3779,3379,1,1,0.4,128,0.4,61,1733,1,3,1,9629988,75,61,1146,1597,9,11,0,0,17,6,5,1,148,0.7,10,4250.86
4243,3619,1,1,0.4,512,0.5,65,1805,1,3,1,10406074,80,63,1188,1733,10,11,0,0,18,7,6,1,153,0.7,10,8044.49
4080,3552,1,1,0.4,128,0.5,66,1782,1,3,1,10148569,78,62,1178,1684,10,11,0,0,18,7,6,1,151,0.7,10,4531.61
4078,3550,1,1,0.4,128,0.5,61,1775,1,3,1,10133608,78,62,1171,1684,10,11,0,0,18,7,6,1,151,0.7,10,6250.55
4000,3434,1,1,0.4,64,0.5,72,1724,1,3,1,10278835,78,64,1153,1708,10,11,0,0,18,7,6,1,152,0.7,10,3630.4
3618,3323,1,1,0.4,64,0.4,56,1678,1,3,1,9780350,75,61,1118,1634,10,10,0,0,17,6,6,1,147,0.7,9,2645.21
